,srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt,label,type
0,58339608,3232235928,1883,52976,TCP,1554198358000000,80549.53026,252183,58607459,0,normal
1,3232235855,3232236031,47260,15600,UDP,1554198358000000,0.0,1,63,0,normal
2,3232235855,3232236031,33269,15600,UDP,1554198364000000,0.0,1,63,0,normal
3,3232235855,3232236031,37498,15600,UDP,1554198370000000,0.0,1,63,0,normal
4,3232235855,3232236031,41303,15600,UDP,1554198376000000,0.0,1,63,0,normal
5,3232235928,3232235966,52072,53,UDP,1554198377000000,0.000499,2,652,0,normal
6,3232235855,3232236031,58180,15600,UDP,1554198388000000,0.0,1,63,0,normal
7,3232235928,2899945283,36390,443,TCP,1554198390000000,0.028326,3,156,0,normal
8,3232235928,3232235966,47671,53,UDP,1554198392000000,0.000331,2,652,0,normal
9,3232235855,3232236031,60036,15600,UDP,1554198394000000,0.0,1,63,0,normal
10,3232235928,3627730754,43680,443,TCP,1554198395000000,0.020068,3,156,0,normal
11,3232235855,3232236031,53946,15600,UDP,1554198400000000,0.0,1,63,0,normal
12,3232235855,3232236031,35073,15600,UDP,1554198406000000,0.0,1,63,0,normal
13,3232235928,3232235966,47248,53,UDP,1554198407000000,0.000301,2,652,0,normal
14,3232235855,3232236031,40408,15600,UDP,1554198418000000,0.0,1,63,0,normal
15,3232235928,3232235966,51941,53,UDP,1554198422000000,0.000881,2,652,0,normal
16,3232235855,3232236031,35975,15600,UDP,1554198424000000,0.0,1,63,0,normal
17,3232235855,3232236031,55043,15600,UDP,1554198430000000,0.0,1,63,0,normal
18,3232235928,3232235966,59295,53,UDP,1554198437000000,0.000615,2,652,0,normal
19,3232235855,3232236031,56510,15600,UDP,1554198437000000,0.0,1,63,0,normal
20,3232235855,3232236031,47025,15600,UDP,1554198443000000,0.0,1,63,0,normal
21,3232235928,3232235966,47564,53,UDP,1554198452000000,0.000557,2,652,0,normal
22,3232235855,3232236031,39072,15600,UDP,1554198460000000,0.0,1,63,0,normal
23,3232235855,3232236031,47335,15600,UDP,1554198466000000,0.0,1,63,0,normal
24,3232235928,3232235966,57301,53,UDP,1554198467000000,0.00049,2,652,0,normal
25,3232235969,3232236031,138,138,UDP,1554198477000000,0.0,1,236,0,normal
26,3232236026,3758096635,5353,5353,UDP,1554198478000000,3.994841000000001,3,756,0,normal
27,3232235855,3232236031,33519,15600,UDP,1554198478000000,0.0,1,63,0,normal
28,3232235928,3232235966,41702,53,UDP,1554198482000000,0.000469,2,652,0,normal
29,3232235855,3232236031,34514,15600,UDP,1554198484000000,0.0,1,63,0,normal
30,3232235855,3232236031,53075,15600,UDP,1554198490000000,0.0,1,63,0,normal
31,3232235855,3232236031,32941,15600,UDP,1554198496000000,0.0,1,63,0,normal
32,3232235928,3232235966,50499,53,UDP,1554198497000000,0.000682,2,652,0,normal
33,3232235855,3232236031,52986,15600,UDP,1554198502000000,0.0,1,63,0,normal
34,3232235928,3232235966,54446,53,UDP,1554198512000000,0.000584,2,652,0,normal
35,3232235855,3232236031,49541,15600,UDP,1554198514000000,0.0,1,63,0,normal
36,3232235855,3232236031,39306,15600,UDP,1554198520000000,0.0,1,63,0,normal
37,3232235909,3758096635,5353,5353,UDP,1554198521000000,0.0,1,77,0,normal
38,3232235855,3232236031,53780,15600,UDP,1554198526000000,0.0,1,63,0,normal
39,3232235928,3232235966,49118,53,UDP,1554198527000000,0.0005059999999999,2,652,0,normal
40,3232235855,3232236031,42101,15600,UDP,1554198532000000,0.0,1,63,0,normal
41,3232235928,3232235966,59364,53,UDP,1554198542000000,0.000769,2,652,0,normal
42,3232235855,3232236031,42568,15600,UDP,1554198544000000,0.0,1,63,0,normal
43,3232235855,3232236031,40158,15600,UDP,1554198556000000,0.0,1,63,0,normal
44,3232235855,3232236031,60831,15600,UDP,1554198568000000,0.0,1,63,0,normal
45,3232235928,3232235966,37364,53,UDP,1554198572000000,0.0008849999999999,2,652,0,normal
46,3232235855,3232236031,46334,15600,UDP,1554198574000000,0.0,1,63,0,normal
47,3232235855,3232236031,45268,15600,UDP,1554198580000000,0.0,1,63,0,normal
48,3232235855,3232236031,42323,15600,UDP,1554198586000000,0.0,1,63,0,normal
49,3232235928,3232235966,59847,53,UDP,1554198587000000,0.00078,2,652,0,normal
50,3232235855,3232236031,49696,15600,UDP,1554198592000000,0.0,1,63,0,normal
51,3232235855,3232236031,51383,15600,UDP,1554198598000000,0.0,1,63,0,normal
52,3232235928,3232235966,37759,53,UDP,1554198602000000,0.000682,2,652,0,normal
53,3232235855,3232236031,42385,15600,UDP,1554198604000000,0.0,1,63,0,normal
54,3232235968,3758096635,5353,5353,UDP,1554198609000000,0.0,1,73,0,normal
55,3232235855,3232236031,37720,15600,UDP,1554198610000000,0.0,1,63,0,normal
56,3232235855,3232236031,39336,15600,UDP,1554198616000000,0.0,1,63,0,normal
57,3232235928,3232235966,60484,53,UDP,1554198617000000,0.000461,2,652,0,normal
58,3232235855,3232236031,40991,15600,UDP,1554198622000000,0.0,1,63,0,normal
59,3232235855,3232236031,39840,15600,UDP,1554198628000000,0.0,1,63,0,normal
60,3232235928,3232235966,54247,53,UDP,1554198632000000,0.000837,2,652,0,normal
61,3232235855,3232236031,48417,15600,UDP,1554198634000000,0.0,1,63,0,normal
62,3232235855,3232236031,41974,15600,UDP,1554198640000000,0.0,1,63,0,normal
63,3232235855,3232236031,36546,15600,UDP,1554198646000000,0.0,1,63,0,normal
64,3232235928,3232235966,54404,53,UDP,1554198647000000,0.00091,2,652,0,normal
65,3232235855,3232236031,44558,15600,UDP,1554198652000000,0.0,1,63,0,normal
66,3232236026,3758096635,5353,5353,UDP,1554198652000000,13.107515,4,1008,0,normal
67,3232235855,3232236031,55659,15600,UDP,1554198658000000,0.0,1,63,0,normal
68,3232235855,3232236031,55553,15600,UDP,1554198664000000,0.0,1,63,0,normal
69,3232235855,3232236031,54999,15600,UDP,1554198670000000,0.0,1,63,0,normal
70,3232235855,3232236031,57775,15600,UDP,1554198676000000,0.0,1,63,0,normal
71,3232235855,3232236031,35690,15600,UDP,1554198689000000,0.0,1,63,0,normal
72,3232235928,3232235966,53168,53,UDP,1554198692000000,0.0005,2,652,0,normal
73,3232235855,3232236031,50847,15600,UDP,1554198706000000,0.0,1,63,0,normal
74,3232235928,3232235966,48921,53,UDP,1554198708000000,0.000417,2,652,0,normal
75,3232235855,3232236031,60784,15600,UDP,1554198712000000,0.0,1,63,0,normal
76,3232235855,3232236031,43921,15600,UDP,1554198718000000,0.0,1,63,0,normal
77,3232235928,3232235966,47355,53,UDP,1554198723000000,0.000484,2,652,0,normal
78,3232235855,3232236031,48828,15600,UDP,1554198724000000,0.0,1,63,0,normal
79,3232235855,3232236031,42171,15600,UDP,1554198730000000,0.0,1,63,0,normal
80,3232235928,3232235966,41403,53,UDP,1554198738000000,0.00032,2,652,0,normal
81,3232235855,3232236031,54449,15600,UDP,1554198742000000,0.0,1,63,0,normal
82,3232235855,3232236031,36412,15600,UDP,1554198748000000,0.0,1,63,0,normal
83,3232235928,3232235966,45175,53,UDP,1554198753000000,0.000552,2,652,0,normal
84,3232235855,3232236031,59873,15600,UDP,1554198754000000,0.0,1,63,0,normal
85,3232235855,3232236031,50263,15600,UDP,1554198760000000,0.0,1,63,0,normal
86,3232235928,3232235966,36325,53,UDP,1554198768000000,0.000524,2,652,0,normal
87,3232235855,3232236031,53552,15600,UDP,1554198772000000,0.0,1,63,0,normal
88,3232236026,3758096635,5353,5353,UDP,1554198773000000,0.0,1,111,0,normal
89,3232235855,3232236031,56209,15600,UDP,1554198778000000,0.0,1,63,0,normal
90,3232235928,3232235966,36116,53,UDP,1554198783000000,0.001653,2,652,0,normal
91,3232235928,3232235966,41819,53,UDP,1554198798000000,0.000842,2,652,0,normal
92,3232235855,3232236031,50704,15600,UDP,1554198808000000,0.0,1,63,0,normal
93,3232235855,3232236031,45033,15600,UDP,1554198814000000,0.0,1,63,0,normal
94,3232235855,3232236031,34090,15600,UDP,1554198826000000,0.0,1,63,0,normal
95,3232235928,3232235966,47813,53,UDP,1554198843000000,0.000562,2,652,0,normal
96,3232235855,3232236031,49053,15600,UDP,1554198844000000,0.0,1,63,0,normal
97,3232235855,3232236031,38546,15600,UDP,1554198850000000,0.0,1,63,0,normal
98,3232235928,3232235966,60261,53,UDP,1554198858000000,0.000359,2,652,0,normal
99,3232235928,3232235966,39524,53,UDP,1554198873000000,0.001705,2,652,0,normal
100,3232235855,3232236031,49972,15600,UDP,1554198874000000,0.0,1,63,0,normal
101,3232235909,3758096635,5353,5353,UDP,1554198875000000,1.022098,2,300,0,normal
