,ts,td,pkt,byt,srcip,dstip,srcport,dstport,proto,type
0,1554198361544864.8,43575.8203125,5.942715167999268,31.359786987304688,3217490255,4009688825,21553,15485,UDP,blacklist
1,1554198367980456.0,5316.169921875,0.0625002384185791,2.470313549041748,3215393103,4009688825,51147,1724,UDP,blacklist
2,1554198374415128.0,2526.891357421875,2.210515022277832,197.00086975097656,3215393175,3220882053,33105,53,UDP,blacklist
3,1554198378263272.0,1009.2239990234375,1.1751701831817627,20.162717819213867,3215393175,3220832701,57537,53,UDP,blacklist
4,1554198380848692.0,1701.7789306640625,3.9192357063293457,555.2214965820312,3215393175,3215393213,41317,53,UDP,blacklist
5,1554198382771616.0,0.0,1.857520341873169,805.2272338867188,3215393175,3215393213,38089,53,UDP,blacklist
6,1554198383876038.0,28.68598175048828,1.9950957298278809,289.83587646484375,3215393213,3215393213,52826,53,UDP,blacklist
7,1554198383900178.0,99.53203582763672,1.9774248600006104,226.992919921875,3215393175,3215393213,58216,53,UDP,blacklist
8,1554198383908228.0,85.60128784179688,1.9721009731292725,299.1104736328125,3215393175,3618046397,41768,53,UDP,blacklist
9,1554198384344758.0,109.20887756347656,0.9836363792419434,61.79038619995117,3215393103,4009688825,48387,15438,UDP,blacklist
10,1554198390475694.0,79.15079498291016,0.9699864387512207,61.7968864440918,3215393103,4009688825,38745,15461,UDP,blacklist
11,1554198393549672.0,108.0593490600586,1.001349687576294,63.02863311767578,3215393103,3215393278,45834,15378,UDP,blacklist
12,1554198394720612.0,90.14773559570312,0.9149229526519775,61.04959487915039,3215393103,3992977659,50431,15374,UDP,blacklist
13,1554198394742564.0,7.383420467376709,1.949329137802124,304.10614013671875,3215393175,3215393213,57889,53,UDP,blacklist
14,1554198395558252.0,0.0,2.001962184906006,315.08465576171875,3215393175,3215393213,53714,53,UDP,blacklist
15,1554198396031600.0,18.90170669555664,1.0371427536010742,194.47764587402344,3215393103,4009688825,58228,5243,UDP,blacklist
16,1554198403444704.0,0.0,1.0040290355682373,47.492618560791016,3215393218,3215393278,52927,15454,UDP,blacklist
17,1554198404212348.0,76.310546875,2.85467529296875,372.92138671875,3215393103,3992977660,56292,15426,UDP,blacklist
18,1554198404572596.0,95.67162322998047,0.8983776569366455,60.167850494384766,3215393103,3992977659,39861,15447,UDP,blacklist
19,1554198409734444.0,48.089317321777344,1.0088615417480469,72.1064682006836,3215393070,3215393278,5214,15370,UDP,blacklist
20,1554198411232692.0,25.063013076782227,2.0454769134521484,635.2269897460938,3215393175,3215393213,42495,53,UDP,blacklist
21,1554198411275524.0,45.74882507324219,2.031442642211914,316.2075500488281,3215393175,3215393213,46177,53,UDP,blacklist
22,1554198411302284.0,0.0,3.5738062858581543,801.07177734375,3215393156,4009688825,53451,1750,UDP,blacklist
23,1554198412865964.0,0.0,1.970576524734497,644.2885131835938,3215393175,3215393213,53711,53,UDP,blacklist
24,1554198412904448.0,74.24327850341797,1.9901950359344482,657.6384887695312,3215393175,3215393213,52507,53,UDP,blacklist
25,1554198421196064.0,67.83036804199219,1.9999580383300781,321.2014465332031,3215393175,3215393213,52918,53,UDP,blacklist
26,1554198421246780.0,58.06980895996094,1.9595279693603516,309.4483642578125,3215393175,3215393213,53735,53,UDP,blacklist
27,1554198421292940.0,22.707372665405273,0.98084557056427,1335.416748046875,3215393213,3208282142,40186,53,UDP,blacklist
28,1554198421328616.0,38.848236083984375,1.0765914916992188,229.3476104736328,3215393216,3220832701,2,1,Other,blacklist
29,1554198426847104.0,0.0,1.0474438667297363,111.29446411132812,3215393030,3215393278,1436,5156,UDP,blacklist
30,1554198426950848.0,57.33021545410156,115.1379165649414,196922.34375,3215393175,3208249840,50244,442,TCP,blacklist
31,1554198427906920.0,61.367820739746094,30.21294403076172,5492.744140625,3215393103,3741319419,43498,15469,UDP,blacklist
32,1554198429515696.0,0.0,1.0934762954711914,146.70103454589844,3215393175,3215393213,53592,53,UDP,blacklist
33,1554198429543896.0,121.91000366210938,2.0348098278045654,329.134765625,3215393175,3215393213,42309,53,UDP,blacklist
34,1554198431627000.0,74.93304443359375,0.9778041839599609,60.33634567260742,3215393103,3215393278,62660,15448,UDP,blacklist
35,1554198435699200.0,10.069421768188477,0.9915673732757568,198.47332763671875,3215393103,3204448507,59794,15473,UDP,blacklist
36,1554198435801784.0,23.078458786010742,1.9478263854980469,669.1311645507812,3215393175,3215393213,54806,53,UDP,blacklist
37,1554198436768024.0,47.91968536376953,1.9362657070159912,1410.956787109375,3215393218,3228303669,34221,53,UDP,blacklist
38,1554198437778936.0,73.11573028564453,1.9995992183685303,649.839111328125,3215393175,3215393213,41505,53,UDP,blacklist
39,1554198438212272.0,0.0,1.9774188995361328,325.63104248046875,3215393175,3215393213,27632,53,UDP,blacklist
40,1554198438270528.0,23.84476089477539,1.001725673675537,2125.09765625,3215393218,3223411742,19779,53,UDP,blacklist
41,1554198438290288.0,76.11972045898438,2.023050546646118,252.23912048339844,3215393213,3623485885,49399,53,UDP,blacklist
42,1554198447387976.0,70.3531265258789,1.9736332893371582,603.364013671875,3215393175,3215393213,21486,53,UDP,blacklist
43,1554198447421272.0,91.94454956054688,12.298401832580566,5762.7724609375,3215393175,913000432,51148,442,TCP,blacklist
44,1554198464135888.0,78.90518188476562,2.0104496479034424,670.9384155273438,3215393213,3215393213,46590,53,UDP,blacklist
45,1554198479007096.0,137.51942443847656,1.9749467372894287,314.6797790527344,3215393175,3215393213,36097,53,UDP,blacklist
46,1554198479008032.0,115.77470397949219,1.986095666885376,307.4698486328125,3215393175,3215393213,54364,53,UDP,blacklist
47,1554198493535024.0,48.79405212402344,1.90582275390625,550.409912109375,3215393175,3215393213,33391,123,UDP,blacklist
48,1554198536979024.0,71.19402313232422,1.97324800491333,322.7872009277344,3215393175,3215393213,54602,53,UDP,blacklist
49,1554198537040544.0,112.73294830322266,2.003720760345459,634.876708984375,3215393175,3215393213,42937,53,UDP,blacklist
50,1554198562636272.0,107.36200714111328,1.878556251525879,584.7235717773438,3215393175,3215393213,57464,123,UDP,blacklist
51,1554198573176640.0,60.56483840942383,1.9322514533996582,635.8878173828125,3215393175,3215393213,52273,53,UDP,blacklist
52,1554198588270128.0,74.31583404541016,1.9617798328399658,654.595947265625,3215393175,3215393213,58146,53,UDP,blacklist
53,1554198603164400.0,23.358184814453125,1.9538249969482422,303.6046447753906,3215393175,3215393213,34574,53,UDP,blacklist
54,1554198618633728.0,95.2643051147461,0.9367804527282715,102.80461120605469,3215393175,3215393213,42490,53,UDP,blacklist
55,1554198628112128.0,70.88673400878906,1.0100152492523193,83.48958587646484,3215393025,3215393278,58222,5164,UDP,blacklist
56,1554198641145248.0,117.67156219482422,1.9203810691833496,454.142333984375,3215393025,3215393213,58948,53,UDP,blacklist
57,1554198656213600.0,66.85189056396484,1.997077465057373,641.0442504882812,3215393175,3215393213,44817,53,UDP,blacklist
58,1554198669139680.0,63.86649703979492,2.0410361289978027,340.74017333984375,3215393175,3215393278,137,136,UDP,blacklist
59,1554198669173120.0,0.0,1.9889671802520752,663.9960327148438,3215393175,3215393213,48656,53,UDP,blacklist
60,1554198683917888.0,15.670783996582031,1.940455675125122,667.7314453125,3215393175,3215393213,53475,53,UDP,blacklist
61,1554198685868672.0,46.970314025878906,1.0000312328338623,573.9553833007812,3215393273,3204448507,39239,5201,UDP,blacklist
62,1554198691525760.0,2.072498321533203,5.357285976409912,1271.678466796875,3215393273,3741319418,5122,5157,UDP,blacklist
63,1554198691529856.0,0.0,0.864153265953064,371.8961486816406,3215393175,3215393213,43321,53,UDP,blacklist
64,1554198691537472.0,94.95866394042969,2.01841402053833,327.6642761230469,3215393175,3215393213,58895,53,UDP,blacklist
65,1554198699148992.0,45.87712097167969,1.9617981910705566,302.6721496582031,3215393175,3215393213,41554,53,UDP,blacklist
66,1554198717649824.0,0.0,0.9435601234436035,101.68643188476562,3215393175,3215393213,52895,53,UDP,blacklist
67,1554198717720000.0,104.57552337646484,1.0460686683654785,76.7865982055664,3215393070,3215393278,49108,5189,UDP,blacklist
68,1554198724384736.0,118.44176483154297,1.052445888519287,66.31390380859375,3215393127,3215393278,35224,5196,UDP,blacklist
69,1554198735635744.0,89.03913116455078,1.966796636581421,311.37249755859375,3215393175,3215393213,40722,53,UDP,blacklist
70,1554198737144512.0,60.622623443603516,1.9975700378417969,658.117919921875,3215393175,3215393213,60504,53,UDP,blacklist
71,1554198751626016.0,66.12760925292969,1.9924609661102295,313.2846374511719,3215393175,3215393213,36328,53,UDP,blacklist
72,1554198751631616.0,20.016109466552734,1.9783203601837158,321.40185546875,3215393175,3215393213,45572,53,UDP,blacklist
73,1554198751665088.0,37.10176467895508,1.9678168296813965,786.0299072265625,3215393175,3215402173,58349,53,UDP,blacklist
74,1554198754570848.0,174.4805908203125,98.7655258178711,73790.421875,3215393175,877348709,59527,442,TCP,blacklist
75,1554198756999456.0,225.9694061279297,1.6771996021270752,199.5061798095703,3215393273,3741319418,5161,5247,UDP,blacklist
76,1554198757121120.0,9.488914489746094,1.047576904296875,259.9895324707031,3215393217,3741343226,137,137,UDP,blacklist
77,1554198757202496.0,3009.790771484375,0.9447158575057983,271.5937805175781,3215393213,134744072,33918,53,UDP,blacklist
78,1554198759070304.0,13.621142387390137,0.9592654705047607,345.64306640625,3215393218,134744072,51296,53,UDP,blacklist
79,1554198774315200.0,0.0,1.1086130142211914,188.70867919921875,3215393213,134744072,26651,53,UDP,blacklist
80,1554198774343616.0,0.0,2.0156702995300293,322.1170349121094,3215393175,3215393213,45879,53,UDP,blacklist
81,1554198774359840.0,0.0,2.053039073944092,307.61920166015625,3215393175,3215393213,28454,53,UDP,blacklist
82,1554198788533056.0,0.0,1.9667141437530518,768.6511840820312,3215393175,3483828669,55540,53,UDP,blacklist
83,1554198788544096.0,0.0,2.0041964054107666,336.8017883300781,3215393175,3215393213,47387,53,UDP,blacklist
84,1554198792648448.0,47.42983627319336,1.9358983039855957,628.327392578125,3215393175,3215393213,55639,53,UDP,blacklist
85,1554198799262240.0,47.73284912109375,0.9918868541717529,481.69189453125,3215393216,4009688825,60089,15380,UDP,blacklist
86,1554198802218784.0,55.92793273925781,1.0565605163574219,67.50491333007812,3215393127,3215393278,36409,5193,UDP,blacklist
87,1554198808902912.0,88.19823455810547,1.0432000160217285,69.90815734863281,3215393103,3215393278,51866,1695,UDP,blacklist
88,1554198812324096.0,151.5395965576172,0.9705531597137451,60.310142517089844,3215393103,4009688825,58939,15365,UDP,blacklist
89,1554198820271712.0,44.2786750793457,1.9805951118469238,316.1506652832031,3215393175,3215393213,33665,53,UDP,blacklist
90,1554198820290816.0,24.93949317932129,0.8793569803237915,93.50421905517578,3215393175,3215393213,35625,53,UDP,blacklist
91,1554198820301248.0,0.0,2.0109333992004395,316.8228454589844,3215393175,3215393213,40820,53,UDP,blacklist
92,1554198821800160.0,0.0,0.9777330160140991,60.79053497314453,3215393103,3215393278,53956,15428,UDP,blacklist
93,1554198823209568.0,41.50761032104492,0.989641547203064,63.197967529296875,3215393103,3215393278,47095,15416,UDP,blacklist
94,1554198825814016.0,104.88849639892578,0.9713791608810425,60.3227424621582,3215393103,4009688825,60769,15462,UDP,blacklist
95,1554198828474560.0,91.30448913574219,0.9861228466033936,61.58980941772461,3215393103,3215393278,36925,15422,UDP,blacklist
96,1554198828963232.0,117.38751983642578,0.9695357084274292,56.84300994873047,3215393103,4003922430,40667,15397,UDP,blacklist
